NAmostra,Hidrogênio,Oxigênio,Nitrogênio,MonóxidoDeCarbono,DióxidoDeCarbono,Metano,Etileno,Etano,Acetileno,NBR7274,IEC60599,Laborelec,Rogers,Duval,Dornenburg,DiagReal
74,"4,3E+017","3,4E+019","4,9E+020",4E+017,"2,7E+018",7E+016,1E+016,7E+016,1E+016,NFD,NFD,NFD,NFD,FTBMA,NFD,SF
75,8E+017,"2,1E+019","3,2E+020","6,6E+017","1,8E+018",4E+016,1E+016,1E+017,1E+016,DPA,DPPA,NFD,NFD,DER,DPPA,SF
76,"1,1E+018","2,3E+019",5E+020,"8,9E+017",7E+018,"2,6E+017",2E+016,"6,1E+017",2E+016,NFD,NFD,NFD,NFD,FTBMA,NFD,DER
77,1E+018,"4,2E+019","6,2E+020","8,1E+017","6,9E+018","2,5E+017",2E+016,"5,4E+017",2E+016,NFD,NFD,NFD,NFD,FTBMA,NFD,DER
78,"1,1E+018","2,5E+019","6,2E+020","9,6E+017","7,4E+018","2,6E+017",2E+016,5E+017,2E+016,NFD,NFD,NFD,NFD,FTBMA,NFD,DER
79,"3,3E+018","3,1E+019","6,2E+020","1,1E+018",1E+019,"1,8E+018","1,6E+018","9,6E+017","1,6E+018",DER,NFD,DERA,DAE,DAE,NFD,DAE
80,"2,36E+018","1,6E+019","4,23E+020","2,6E+018","9,71E+018","9,86E+018","1,89E+018","1,43E+018",3E+016,FTM,FTM,FTBMA,NFD,FTBMA,FTBMA,FTA
81,"2,01E+018",0,0,"3,29E+018","1,85E+019","9,7E+017","1,27E+018","1,8E+017","1,1E+017",NFD,NFD,DPPA,NFD,FTBMA,NFD,FTA
82,0,0,0,0,0,2E+016,2E+016,0,0,DPP,DPPA,NFD,DPPA,FTBMA,NFD,SF
83,"6,5E+017",0,0,8E+017,0,3E+016,3E+016,0,"1,5E+017",NFD,DPPA,NFD,DPP,DER,NFD,DER
84,"1,05E+018",0,0,"1,88E+018",0,"1,4E+017","2,3E+017",2E+016,"4,4E+017",DAE,DERA,NFD,DAE,DAE,DERA,DER
85,"8,7E+017",0,0,"1,6E+017","2,91E+018","1,6E+017","3,6E+017",3E+016,"6,1E+017",DAE,DERA,NFD,DAE,DAE,DERA,DER
86,"3,4E+017","1,25E+019","1,6E+020","7,7E+017","1,37E+019",9E+016,1E+016,5E+016,0,SF,NFD,NFD,SF,FTBMA,NFD,SF
87,"5,5E+018","3,8E+019","7,4E+020","1,6E+018",0,"1,4E+018","5,4E+017","2,3E+018",2E+018,NFD,NFD,DERA,NFD,DER,NFD,DAE
88,"1,4E+018",0,0,9E+017,0,"5,9E+017","1,66E+018","2,1E+017",2E+016,NFD,NFD,NFD,NFD,FTBMA,NFD,SF
89,"8,2E+017",0,0,2E+018,0,"2,38E+018","6,73E+018","8,3E+017","2,1E+017",FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
90,"8,4E+017",0,0,"1,8E+018",0,"2,26E+018","7,7E+018","9,3E+017","2,9E+017",FTA,FTA,FTBMA,DER,FTBMA,FTBMA,FTA
91,5E+016,"1,97E+020","5,4E+020",3E+016,3E+017,3E+016,0,0,0,SF,NFD,NFD,SF,DPPA,NFD,SF
92,"2,1E+017","2,7E+020","6,6E+020","6,6E+017","1,1E+019",4E+016,4E+016,2E+016,4E+016,DER,NFD,NFD,DAE,DAE,NFD,DER
93,"2,9E+017",3E+020,8E+020,"7,3E+017","1,3E+019",6E+016,"1,3E+017",4E+016,"3,1E+017",DAE,DERA,NFD,DAE,DAE,DERA,DAE
94,"2,5E+017","3,2E+019",8E+020,"7,3E+017","1,3E+019",6E+016,"1,3E+017",4E+016,"3,1E+017",DAE,DERA,NFD,DAE,DAE,DERA,DAE
95,"5,7E+017","1,04E+020","7,5E+020",0,"3,39E+018",1E+016,1E+016,1E+016,1E+016,NFD,NFD,NFD,NFD,DAE,NFD,SF
96,"6,9E+017","6,99E+019","9,96E+020","3,3E+018","1,37E+019","4,9E+017",7E+017,"1,3E+017",7E+016,DAE,NFD,NFD,NFD,FTBMA,NFD,DAE
97,"1,9E+017","2,19E+019","6,02E+020","8,8E+017","4,5E+018","4,4E+017",2E+016,"5,8E+017",0,FTB,FTB,NFD,FTB,FTBMA,NFD,SF
98,"2,1E+017","1,4E+019","6,42E+020","1,23E+018","5,6E+018","5,9E+017",5E+016,"9,2E+017",5E+016,NFD,FTB,NFD,NFD,FTBMA,NFD,DAE
